Číslo	Zbraň	SR5 kategorie	Technické informace	Popis	Země	Rok	Typ	Role	DMG	AP	Mode	RC	Ammo	Conceal	Accuracy	Reach	Avail	Cost	Useskill	Defaultní vybavení	Poznámka
41	Karabiner 98k	Sporting Rifles	7,92×57 mm, 5 ran, závěr	Standardní německá pěchotní puška.	DE	1935	Reálná	Standardní opakovačka	10P	-2	SS	0	5(m)	6	5		5R	1200	Longarms	-	Vyvážená služební opakovačka; referenční hodnota.
42	Gewehr 98	Sporting Rifles	7,92×57 mm, 5 ran	Starší německá puška.	DE	1898	Reálná	Starší robustní (RC 1)	10P	-1	SS	1	5(m)	6	4		4R	1000	Longarms	-	Dlouhá a těžká (RC 1), starší munice (AP -1); levná.
43	Gewehr 41	Sporting Rifles	7,92×57 mm, 10 ran, samonabíjecí	Raná německá samonabíjecí puška.	DE	1941	Prototyp	Raná samonabíjecí	10P	-2	SA	1	10(c)	6	4		10F	2000	Longarms	-	Samonabíjecí prototyp (RC 1), méně přesná.
44	Gewehr 43	Sporting Rifles	7,92×57 mm, 10 ran, samonabíjecí	Úspěšnější německá samonabíjecí puška.	DE	1943	Prototyp	Kvalitní samonabíjecí	10P	-2	SA	1	10(c)	6	5		12F	2500	Longarms	-	Vylepšená samonabíjecí (RC 1, přesná); drahá.
45	Mosin-Nagant M91/30	Sporting Rifles	7,62×54 mmR, 5 ran	Základní sovětská pěchotní puška.	SU	1930	Reálná	Robustní a levná opakovačka	10P	-2	SS	0	5(m)	6	4		4R	900	Longarms	-	Robustní a levná; průměrná přesnost (nižší cena, ne vyšší průbojnost).
46	SVT-38	Sporting Rifles	7,62×54 mmR, 10 ran	Raná sovětská samonabíjecí puška.	SU	1938	Reálná	Raná samonabíjecí	10P	-2	SA	0	10(c)	6	4		10F	1800	Longarms	-	Raná samonabíjecí; drahá, průměrná.
47	SVT-40	Sporting Rifles	7,62×54 mmR, 10 ran	Vylepšená varianta SVT.	SU	1940	Prototyp	Samonabíjecí sovětská	10P	-2	SA	0	10(c)	6	5		11F	2200	Longarms	-	Vylepšená samonabíjecí (přesnější); drahá.
48	Lee-Enfield No.4	Sporting Rifles	.303 British, 10 ran	Britská opakovací puška s rychlým závěrem.	UK	1941	Prototyp	Vysokokapacitní opakovačka	9P	-2	SS	0	10(m)	6	5		5R	1300	Longarms	-	10 ran a rychlý závěr; slabší ráže (9P); prototyp.
49	Springfield M1903	Sporting Rifles	.30-06, 5 ran	Americká opakovací puška.	US	1903	Reálná	Přesná a výkonná opakovačka	11P	-3	SS	0	5(m)	6	6		5R	1300	Longarms	-	Silná ráže (11P), AP -3 a Acc 6; dražší.
50	M1 Garand	Sporting Rifles	.30-06, 8 ran, samonabíjecí	Americká standardní samonabíjecí puška.	US	1936	Reálná	Výkonná samonabíjecí	11P	-2	SA	0	8(c)	6	5		6R	1800	Longarms	-	Silná ráže (11P), samonabíjecí; pozor: existuje i v oficiálních datech.
51	M1 Carbine	Sporting Rifles	.30 Carbine, 15/30 ran	Lehká karabina pro podpůrný personál.	US	1941	Prototyp	Lehká karabina	8P	0	SA	0	15(c)	5	4		6R	1200	Longarms	-	Nízký DMG a AP, ale lehká a skrytelná (conceal 5).
52	vz. 24	Sporting Rifles	7,92×57 mm, 5 ran	Československá puška Mauser.	CS	1924	Reálná	Kvalitní opakovačka (česká)	10P	-2	SS	0	5(m)	6	5		6R	1100	Longarms	-	Kvalitní česká opakovačka; levnější, hůř dostupná.
53	MAS-36	Sporting Rifles	7,5×54 mm, 5 ran	Francouzská válečná opakovací puška.	FR	1936	Reálná	Krátká / kompaktní opakovačka	9P	-1	SS	0	5(m)	5	4		5R	1000	Longarms	-	Kratší hlaveň (9P, conceal 5); průměrná přesnost.
