Číslo	Zbraň	SR5 kategorie	Technické informace	Popis	Země	Rok	Typ	Role	DMG	AP	Mode	RC	Ammo	Conceal	Accuracy	Reach	Avail	Cost	Useskill	Defaultní vybavení	Poznámka
88	Flammenwerfer 35	Flamethrowers	Nádrž + tryska	Německý přenosný plamenomet.	DE	1935	Reálná	Německý plamenomet	10P	-4	SA	0	6(c)	6	4		14F	2000	Heavy Weapons	nádrž s palivem	Vyšší DMG, ale menší zásoba paliva.
89	Flamethrower No.2	Flamethrowers	Nádrž + tryska	Britský přenosný plamenomet.	UK	1940	Prototyp	Britský plamenomet	9P	-6	SA	0	8(c)	6	4		14F	2200	Heavy Weapons	nádrž s palivem	Vyšší AP a delší zápal; slabší DMG.
90	Panzerbüchse 39	Assault Cannons	7,92×94 mm, protitanková puška	Německá protitanková puška.	DE	1939	Prototyp	Německá PT puška	12P	-5	SS	0	1(m)	10	5		18F	6000	Heavy Weapons	dvojnožka	Přesná a průbojná; jednoranná, drahá.
91	Boys Anti-Tank Rifle	Assault Cannons	.55 Boys, protitanková puška	Britská protitanková puška.	UK	1937	Reálná	Britská PT puška	12P	-4	SS	0	5(c)	10	4		16F	5000	Heavy Weapons	dvojnožka	Větší zásobník a nižší cena; menší AP.
92	PTRD-41	Assault Cannons	14,5×114 mm, protitanková puška	Sovětská protitanková puška.	SU	1941	Prototyp	Sovětská PT puška (průbojná)	13P	-6	SS	0	1(m)	10	4		18F	7000	Heavy Weapons	dvojnožka	Nejsilnější a nejprůbojnější; jednoranná, drahá.
93	Granatwerfer 34	Grenade Launchers	8 cm minomet	Německý pěchotní minomet.	DE	1934	Reálná	Německý minomet (těžký)	Grenade	Grenade	SS	0	1(m)	10	5		16F	4000	Heavy Weapons	stativ, minometné granáty	Těžký, přesný; nepřenosný jednotlivcem.
94	2-inch Mortar	Grenade Launchers	5,1 cm lehký minomet	Britský lehký minomet.	UK	1938	Reálná	Lehký minomet (přenosný)	Grenade	Grenade	SS	0	1(m)	6	4		14F	2500	Heavy Weapons	minometné granáty	Lehký a přenosný; méně přesný.
95	Stielhandgranate 24	Gear	Dřevěná násada, výbušná nálož	Německý ruční granát na násadě.	DE	1924	Reálná	Útočný (výbušný) granát	16P (-2/m)	-2	0	0	0	0	Physical	0	10F	100	Throwing Weapons	-	Výbušný/otřesový; průbojný (AP -2), bez úlomků.
96	Mills Bomb No.36	Gear	Kovové tělo, zápalná složka	Britský ruční granát.	UK	1915	Reálná	Obranný (úlomkový) granát	18P(f) (-1/m)	+5	0	0	0	0	Physical	0	11F	100	Throwing Weapons	-	Fragmentační (18P(f)); proti zbroji slabší (AP +5).
97	F1	Gear	Kovové tělo, zápalná složka	Sovětský obranný granát.	SU	1939	Prototyp	Obranný (úlomkový) granát	16P(f) (-1/m)	+5	0	0	0	0	Physical	0	10F	80	Throwing Weapons	-	Fragmentační, levný; menší nálož.
98	Mk 2	Gear	Kovové tělo, zápalná složka	Americký ruční granát.	US	1918	Reálná	Obranný (úlomkový) granát	17P(f) (-1/m)	+5	0	0	0	0	Physical	0	10F	90	Throwing Weapons	-	Fragmentační; vyvážený.
99	Molotov Cocktail	Gear	Láhev s hořlavinou	Improvizovaná zápalná láhev.	—	1936	Reálná	Zápalná (improvizovaná)	8P (-4/m)	-6	0	0	0	0	Physical	0	6F	20	Throwing Weapons	-	ZÁPALNÁ zbraň — po zásahu cíl HOŘÍ (oheň dle SR5, další poškození v kolech); nízký DMG, ale silný AP; velmi levná.
100	Sticky Bomb No.74	Gear	Přilnavá výbušná nálož	Britská přilnavá bomba proti tankům.	UK	1940	Prototyp	Přilnavá proti tankům	16P (-2/m)	-4	0	0	0	0	Physical	0	12F	150	Throwing Weapons	-	Přilne k cíli, průbojná (AP -4); vzácná, prototyp.
101	Satchel Charge	Gear	Výbušná nálož s časovačem	Demoliční nálož pro ničení objektů.	—	1918	Reálná	Demoliční nálož (max DMG)	20P (-2/m)	-4	0	0	0	0	Physical	0	12F	250	Demolitions	-	Nejvyšší DMG; umisťuje se (Demolitions), ne hází.
